batch_id,poison_label,mean_qber,std_qber,skew_qber,kurtosis_qber,frac_qber_0.000,frac_qber_0.125,frac_qber_0.250,frac_qber_0.375,frac_qber_0.500,frac_qber_0.625,frac_qber_0.750,frac_qber_0.875,frac_qber_1.000
60,30,0.23125,0.15142551799482146,0.6940008474860538,0.7294736322768456,0.12,0.28,0.36,0.15,0.06,0.02,0.01,0.0,0.0
61,30,0.23875,0.16402648414204335,0.5114597101338716,-0.4831591359123837,0.12,0.34,0.22,0.19,0.09,0.04,0.0,0.0,0.0
62,30,0.24625,0.14518845511954456,0.020067773779369604,-0.8756389318721074,0.11,0.26,0.28,0.25,0.1,0.0,0.0,0.0,0.0
63,30,0.245,0.15301143748099355,0.17439522082112857,-0.6586556537687178,0.12,0.28,0.23,0.28,0.07,0.02,0.0,0.0,0.0
64,30,0.24125,0.15836567652114517,0.072491250004694,-0.8869057382552405,0.16,0.23,0.25,0.25,0.1,0.01,0.0,0.0,0.0
65,30,0.27125,0.18545130762547887,0.4968576765492595,-0.5924543520797863,0.11,0.28,0.25,0.15,0.12,0.08,0.01,0.0,0.0
66,30,0.2725,0.1614194845735793,-0.14225259825138004,-0.7434090303529333,0.14,0.15,0.27,0.29,0.13,0.02,0.0,0.0,0.0
67,30,0.25125,0.15359748533097797,0.43372334952010544,-0.35199963175684745,0.09,0.28,0.33,0.16,0.11,0.03,0.0,0.0,0.0
68,30,0.24125,0.1460468674775327,0.5874885135298554,0.30142878446111165,0.09,0.28,0.37,0.17,0.05,0.04,0.0,0.0,0.0
69,30,0.24625,0.14301988498107526,0.6995813538573149,0.2144097339786959,0.05,0.35,0.31,0.2,0.05,0.04,0.0,0.0,0.0
70,30,0.26,0.17109938632268676,0.5809244420948119,0.695121426503436,0.12,0.26,0.22,0.28,0.09,0.01,0.01,0.01,0.0
71,30,0.24625,0.18578801764376518,0.8737439314815035,0.29957507155439833,0.14,0.28,0.33,0.08,0.09,0.05,0.03,0.0,0.0
72,30,0.26875,0.16618419750385416,0.3622580051179446,-0.40077303345610504,0.09,0.28,0.23,0.24,0.12,0.03,0.01,0.0,0.0
73,30,0.26375,0.16094933208932555,0.5535017750070924,0.3869944690057707,0.09,0.25,0.3,0.24,0.08,0.02,0.02,0.0,0.0
74,30,0.26125,0.15113632091592016,0.33637036612906546,-0.14346649931869093,0.09,0.22,0.36,0.21,0.08,0.04,0.0,0.0,0.0
75,30,0.24625,0.13282389656985674,-0.04030266781979406,-0.6169278655862094,0.09,0.24,0.35,0.25,0.07,0.0,0.0,0.0,0.0
76,30,0.28,0.18801595676963165,0.32831860795234735,-0.4245662189981365,0.15,0.17,0.26,0.24,0.09,0.07,0.02,0.0,0.0
77,30,0.25625,0.14183507147387772,0.3126494719068262,-0.40637948911301747,0.06,0.3,0.29,0.25,0.08,0.02,0.0,0.0,0.0
78,30,0.2325,0.1531135199778256,0.23555321766018464,-0.7498226901334264,0.14,0.29,0.25,0.22,0.09,0.01,0.0,0.0,0.0
79,30,0.2175,0.15970676253684438,0.3216505143375347,-0.7292216228335295,0.2,0.25,0.28,0.16,0.1,0.01,0.0,0.0,0.0
80,30,0.26,0.16926310879810758,0.6039035151443312,-0.43917153221311533,0.08,0.32,0.29,0.13,0.11,0.07,0.0,0.0,0.0
81,30,0.26375,0.15298590621361172,0.41148648161943113,-0.009772437002964374,0.07,0.29,0.25,0.28,0.08,0.02,0.01,0.0,0.0
82,30,0.25625,0.1554981913078091,0.40401178463035226,0.07807162002396018,0.1,0.25,0.3,0.24,0.08,0.02,0.01,0.0,0.0
83,30,0.28625,0.14821331755277595,0.6493628398107261,1.4915706486277474,0.05,0.18,0.39,0.24,0.11,0.02,0.0,0.01,0.0
84,30,0.285,0.16209565077447327,0.378560358267745,-0.22811947481488737,0.07,0.21,0.34,0.19,0.14,0.04,0.01,0.0,0.0
85,30,0.25375,0.1504732119016538,0.2519792052777054,-0.5668127382299475,0.09,0.28,0.28,0.23,0.1,0.02,0.0,0.0,0.0
86,30,0.24375,0.17173289580042606,0.5527026030781627,0.028170694267796392,0.16,0.22,0.32,0.18,0.06,0.05,0.01,0.0,0.0
87,30,0.27,0.15783694117664598,0.3827617816874673,-0.4347048588776232,0.07,0.27,0.29,0.22,0.1,0.05,0.0,0.0,0.0
88,30,0.23625,0.16853690248725947,0.4941678678482189,-0.2189152526188738,0.16,0.27,0.26,0.18,0.1,0.02,0.01,0.0,0.0
89,30,0.25375,0.17893347227391526,0.6632825311153379,0.2593675183950488,0.13,0.28,0.26,0.16,0.12,0.04,0.0,0.01,0.0
90,30,0.255,0.14352700094407325,0.1596820749380726,-0.3370605146573671,0.09,0.24,0.32,0.26,0.07,0.02,0.0,0.0,0.0
91,30,0.27625,0.15741565201719937,0.5015221935085881,-0.18217037898705168,0.06,0.24,0.35,0.2,0.08,0.07,0.0,0.0,0.0
92,30,0.26625,0.16831425221887777,0.2788170229041831,-0.745312597167525,0.11,0.24,0.3,0.15,0.16,0.04,0.0,0.0,0.0
93,30,0.2675,0.16865274975522931,0.5018835115408845,-0.0019122616353994815,0.1,0.24,0.31,0.18,0.13,0.02,0.02,0.0,0.0
94,30,0.2325,0.17049560111627513,0.49028655380097846,-0.446602018944239,0.17,0.28,0.24,0.19,0.07,0.05,0.0,0.0,0.0
95,30,0.24875,0.15154929066148742,1.0965151977265164,1.937171293900084,0.05,0.34,0.35,0.14,0.09,0.02,0.0,0.01,0.0
96,30,0.25875,0.16226425207050382,0.08950413829737289,-0.8357176394256665,0.13,0.23,0.25,0.24,0.13,0.02,0.0,0.0,0.0
