batch_id,poison_label,mean_qber,std_qber,skew_qber,kurtosis_qber,frac_qber_0.000,frac_qber_0.125,frac_qber_0.250,frac_qber_0.375,frac_qber_0.500,frac_qber_0.625,frac_qber_0.750,frac_qber_0.875,frac_qber_1.000
62,0,0.23625,0.13681077260216026,0.31015380485651095,-0.5875312684584282,0.08,0.32,0.33,0.17,0.1,0.0,0.0,0.0,0.0
63,0,0.23,0.14,0.2321884110787171,-0.49895551332778076,0.11,0.31,0.28,0.24,0.05,0.01,0.0,0.0,0.0
64,0,0.23625,0.14884450779252825,0.17723453070790857,-0.6629107002480117,0.13,0.27,0.28,0.23,0.08,0.01,0.0,0.0,0.0
65,0,0.2675,0.17231874535290695,0.4577027524669314,-0.29071441207183923,0.11,0.23,0.32,0.16,0.12,0.05,0.01,0.0,0.0
66,0,0.27,0.15178109236660542,-0.1406522034903012,-0.6290814858997802,0.12,0.15,0.33,0.26,0.13,0.01,0.0,0.0,0.0
67,0,0.25,0.14252192813739226,0.5667144124753111,-0.24260355029585856,0.05,0.33,0.34,0.15,0.11,0.02,0.0,0.0,0.0
68,0,0.24125,0.1302101666537602,0.1399717090573867,-0.4331016352983714,0.08,0.26,0.39,0.19,0.08,0.0,0.0,0.0,0.0
69,0,0.24625,0.13399510252244295,0.5954309531124967,0.5683865707435305,0.06,0.27,0.42,0.17,0.05,0.03,0.0,0.0,0.0
70,0,0.25125,0.1690922455347968,0.49087588806379845,0.07606192418514324,0.13,0.28,0.2,0.29,0.06,0.02,0.02,0.0,0.0
71,0,0.24875,0.16816565493583996,0.83136660603773,0.2511409451819988,0.09,0.32,0.33,0.11,0.08,0.06,0.01,0.0,0.0
72,0,0.26,0.16458280590632787,0.2994103979665144,-0.16018457846852696,0.13,0.21,0.28,0.26,0.08,0.03,0.01,0.0,0.0
73,0,0.26125,0.14587558911620543,0.46658126329132343,0.3409963450971749,0.07,0.24,0.37,0.2,0.1,0.01,0.01,0.0,0.0
74,0,0.26625,0.13880629488607496,0.31176158747953897,0.04017422518634772,0.07,0.17,0.48,0.14,0.12,0.02,0.0,0.0,0.0
75,0,0.2425,0.13786315678962235,0.25281349541589215,-0.2728885219981083,0.09,0.26,0.37,0.19,0.08,0.01,0.0,0.0,0.0
76,0,0.27625,0.1689073340622011,0.296045430826342,-0.10509125167628586,0.11,0.21,0.25,0.28,0.11,0.02,0.02,0.0,0.0
77,0,0.23625,0.140195176450547,0.17467811628486168,-0.7457278679878399,0.1,0.3,0.3,0.21,0.09,0.0,0.0,0.0,0.0
78,0,0.2325,0.13580776855541069,0.23276516898459718,-0.6545869901948698,0.09,0.32,0.31,0.2,0.08,0.0,0.0,0.0,0.0
79,0,0.22125,0.15192000362032645,0.41296934762586834,-0.4973115412160971,0.15,0.3,0.3,0.14,0.1,0.01,0.0,0.0,0.0
80,0,0.2525,0.16486737093797546,0.5385294087869952,-0.07985206146559198,0.11,0.27,0.31,0.16,0.11,0.03,0.01,0.0,0.0
81,0,0.25125,0.14947303268482912,0.40184883484706896,0.26793122678446535,0.1,0.24,0.34,0.22,0.08,0.01,0.01,0.0,0.0
82,0,0.25,0.1414213562373095,0.2485922277608956,-0.16796875,0.09,0.24,0.36,0.22,0.07,0.02,0.0,0.0,0.0
83,0,0.26875,0.13506364240608942,0.6985762172052188,1.1547304082278345,0.04,0.21,0.45,0.2,0.07,0.02,0.01,0.0,0.0
84,0,0.28125,0.15848402916382456,0.11223663314983917,-0.9123785521309755,0.07,0.25,0.27,0.2,0.19,0.02,0.0,0.0,0.0
85,0,0.2575,0.13442005058770065,0.2666823697089031,-0.05710610141494055,0.06,0.25,0.36,0.25,0.06,0.02,0.0,0.0,0.0
86,0,0.24125,0.1641788278067547,0.6852390197476664,0.2507014309596478,0.12,0.29,0.31,0.16,0.07,0.04,0.01,0.0,0.0
87,0,0.2625,0.14415703243338496,0.46941291583260597,-0.6188026457120253,0.03,0.35,0.27,0.21,0.12,0.02,0.0,0.0,0.0
88,0,0.24,0.1607404740567851,0.544288021870699,-0.08643884162135995,0.12,0.3,0.29,0.15,0.12,0.01,0.01,0.0,0.0
89,0,0.2525,0.17045893933730785,0.6736965507952436,-0.07387642395034355,0.1,0.31,0.29,0.14,0.1,0.05,0.01,0.0,0.0
90,0,0.2475,0.1391716565971678,0.12635262936019054,-0.46781539934032335,0.09,0.26,0.32,0.25,0.07,0.01,0.0,0.0,0.0
91,0,0.2675,0.14686303142724516,0.3560701259990191,-0.5681567024235723,0.05,0.28,0.33,0.18,0.14,0.02,0.0,0.0,0.0
92,0,0.26,0.15173990905493517,0.08151913967414183,-0.9844737521529847,0.09,0.27,0.27,0.21,0.16,0.0,0.0,0.0,0.0
93,0,0.26625,0.15875984221458525,0.6631774046046094,0.38175071783886816,0.06,0.3,0.28,0.23,0.09,0.02,0.02,0.0,0.0
94,0,0.2275,0.16712644913358266,0.40632592689769154,-0.6308477169567865,0.18,0.28,0.23,0.19,0.09,0.03,0.0,0.0,0.0
