batch_id,key_id,key_length,mismatched_bits,qber,eve_present
3,36,8,2,0.25,1
3,37,8,1,0.125,1
3,38,8,1,0.125,1
3,39,8,0,0.0,1
3,40,8,5,0.625,1
3,41,8,0,0.0,1
3,42,8,5,0.625,1
3,43,8,3,0.375,1
3,44,8,3,0.375,1
3,45,8,1,0.125,1
3,46,8,2,0.25,1
3,47,8,1,0.125,1
3,48,8,1,0.125,1
3,49,8,3,0.375,1
3,50,8,3,0.375,1
3,51,8,4,0.5,1
3,52,8,3,0.375,1
3,53,8,1,0.125,1
3,54,8,3,0.375,1
3,55,8,0,0.0,1
3,56,8,2,0.25,1
3,57,8,3,0.375,1
3,58,8,2,0.25,1
3,59,8,3,0.375,1
3,60,8,5,0.625,1
3,61,8,1,0.125,1
3,62,8,5,0.625,1
3,63,8,1,0.125,1
3,64,8,2,0.25,1
3,65,8,3,0.375,1
3,66,8,1,0.125,1
3,67,8,1,0.125,1
3,68,8,1,0.125,1
3,69,8,1,0.125,1
3,70,8,3,0.375,1
3,71,8,2,0.25,1
3,72,8,2,0.25,1
3,73,8,3,0.375,1
3,74,8,1,0.125,1
3,75,8,1,0.125,1
3,76,8,1,0.125,1
3,77,8,1,0.125,1
3,78,8,3,0.375,1
3,79,8,1,0.125,1
3,80,8,2,0.25,1
3,81,8,0,0.0,1
3,82,8,2,0.25,1
3,83,8,0,0.0,1
3,84,8,1,0.125,1
3,85,8,3,0.375,1
3,86,8,2,0.25,1
3,87,8,1,0.125,1
3,88,8,1,0.125,1
3,89,8,3,0.375,1
3,90,8,2,0.25,1
3,91,8,2,0.25,1
3,92,8,1,0.125,1
3,93,8,3,0.375,1
3,94,8,4,0.5,1
3,95,8,2,0.25,1
3,96,8,3,0.375,1
3,97,8,0,0.0,1
3,98,8,3,0.375,1
3,99,8,1,0.125,1
4,0,8,1,0.125,1
4,1,8,3,0.375,1
4,2,8,0,0.0,1
4,3,8,2,0.25,1
4,4,8,1,0.125,1
4,5,8,0,0.0,1
4,6,8,2,0.25,1
4,7,8,1,0.125,1
4,8,8,0,0.0,1
4,9,8,3,0.375,1
4,10,8,1,0.125,1
4,11,8,4,0.5,1
4,12,8,2,0.25,1
4,13,8,2,0.25,1
4,14,8,1,0.125,1
4,15,8,1,0.125,1
4,16,8,2,0.25,1
4,17,8,3,0.375,1
4,18,8,3,0.375,1
4,19,8,2,0.25,1
4,20,8,2,0.25,1
4,21,8,2,0.25,1
4,22,8,6,0.75,1
4,23,8,2,0.25,1
4,24,8,3,0.375,1
4,25,8,5,0.625,1
4,26,8,3,0.375,1
4,27,8,1,0.125,1
4,28,8,1,0.125,1
4,29,8,2,0.25,1
4,30,8,1,0.125,1
4,31,8,4,0.5,1
4,32,8,3,0.375,1
4,33,8,1,0.125,1
4,34,8,1,0.125,1
4,35,8,1,0.125,1
4,36,8,4,0.5,1
4,37,8,3,0.375,1
4,38,8,3,0.375,1
4,39,8,4,0.5,1
4,40,8,1,0.125,1
4,41,8,2,0.25,1
4,42,8,2,0.25,1
4,43,8,4,0.5,1
4,44,8,3,0.375,1
4,45,8,2,0.25,1
4,46,8,2,0.25,1
4,47,8,5,0.625,1
4,48,8,3,0.375,1
4,49,8,2,0.25,1
4,50,8,0,0.0,1
4,51,8,2,0.25,1
4,52,8,1,0.125,1
4,53,8,3,0.375,1
4,54,8,3,0.375,1
4,55,8,3,0.375,1
4,56,8,1,0.125,1
4,57,8,1,0.125,1
4,58,8,3,0.375,1
4,59,8,2,0.25,1
4,60,8,1,0.125,1
4,61,8,5,0.625,1
4,62,8,1,0.125,1
4,63,8,0,0.0,1
4,64,8,1,0.125,1
4,65,8,1,0.125,1
4,66,8,1,0.125,1
4,67,8,2,0.25,1
4,68,8,2,0.25,1
4,69,8,2,0.25,1
4,70,8,2,0.25,1
4,71,8,2,0.25,1
4,72,8,2,0.25,1
4,73,8,3,0.375,1
4,74,8,0,0.0,1
4,75,8,4,0.5,1
4,76,8,3,0.375,1
4,77,8,1,0.125,1
4,78,8,3,0.375,1
4,79,8,2,0.25,1
4,80,8,1,0.125,1
4,81,8,2,0.25,1
4,82,8,2,0.25,1
4,83,8,3,0.375,1
4,84,8,2,0.25,1
4,85,8,1,0.125,1
4,86,8,0,0.0,1
4,87,8,2,0.25,1
4,88,8,3,0.375,1
4,89,8,2,0.25,1
4,90,8,1,0.125,1
4,91,8,3,0.375,1
4,92,8,4,0.5,1
4,93,8,0,0.0,1
4,94,8,0,0.0,1
4,95,8,2,0.25,1
4,96,8,1,0.125,1
4,97,8,2,0.25,1
4,98,8,4,0.5,1
4,99,8,2,0.25,1
5,0,8,2,0.25,1
5,1,8,2,0.25,1
5,2,8,2,0.25,1
5,3,8,3,0.375,1
5,4,8,4,0.5,1
5,5,8,2,0.25,1
5,6,8,2,0.25,1
5,7,8,3,0.375,1
5,8,8,1,0.125,1
5,9,8,0,0.0,1
5,10,8,1,0.125,1
5,11,8,3,0.375,1
5,12,8,2,0.25,1
5,13,8,1,0.125,1
5,14,8,3,0.375,1
5,15,8,0,0.0,1
5,16,8,0,0.0,1
5,17,8,2,0.25,1
5,18,8,4,0.5,1
5,19,8,1,0.125,1
5,20,8,2,0.25,1
5,21,8,3,0.375,1
5,22,8,3,0.375,1
5,23,8,3,0.375,1
5,24,8,2,0.25,1
5,25,8,2,0.25,1
5,26,8,2,0.25,1
5,27,8,2,0.25,1
5,28,8,3,0.375,1
5,29,8,3,0.375,1
5,30,8,1,0.125,1
5,31,8,2,0.25,1
5,32,8,3,0.375,1
5,33,8,1,0.125,1
5,34,8,1,0.125,1
5,35,8,0,0.0,1
5,36,8,1,0.125,1
5,37,8,1,0.125,1
5,38,8,2,0.25,1
5,39,8,3,0.375,1
5,40,8,2,0.25,1
5,41,8,5,0.625,1
5,42,8,2,0.25,1
5,43,8,2,0.25,1
5,44,8,3,0.375,1
5,45,8,1,0.125,1
5,46,8,2,0.25,1
5,47,8,1,0.125,1
5,48,8,2,0.25,1
5,49,8,4,0.5,1
5,50,8,1,0.125,1
5,51,8,3,0.375,1
5,52,8,1,0.125,1
5,53,8,1,0.125,1
5,54,8,2,0.25,1
5,55,8,2,0.25,1
5,56,8,1,0.125,1
5,57,8,0,0.0,1
5,58,8,1,0.125,1
5,59,8,3,0.375,1
5,60,8,2,0.25,1
5,61,8,0,0.0,1
5,62,8,2,0.25,1
5,63,8,1,0.125,1
5,64,8,4,0.5,1
5,65,8,3,0.375,1
5,66,8,3,0.375,1
5,67,8,2,0.25,1
5,68,8,0,0.0,1
5,69,8,1,0.125,1
5,70,8,1,0.125,1
5,71,8,3,0.375,1
5,72,8,0,0.0,1
5,73,8,1,0.125,1
5,74,8,2,0.25,1
5,75,8,1,0.125,1
5,76,8,2,0.25,1
5,77,8,2,0.25,1
5,78,8,3,0.375,1
5,79,8,3,0.375,1
5,80,8,2,0.25,1
5,81,8,4,0.5,1
5,82,8,3,0.375,1
5,83,8,2,0.25,1
5,84,8,0,0.0,1
5,85,8,0,0.0,1
5,86,8,3,0.375,1
5,87,8,2,0.25,1
5,88,8,1,0.125,1
5,89,8,1,0.125,1
5,90,8,2,0.25,1
5,91,8,1,0.125,1
5,92,8,0,0.0,1
5,93,8,1,0.125,1
5,94,8,3,0.375,1
5,95,8,1,0.125,1
5,96,8,2,0.25,1
5,97,8,3,0.375,1
5,98,8,0,0.0,1
5,99,8,3,0.375,1
6,0,8,2,0.25,1
6,1,8,3,0.375,1
6,2,8,0,0.0,1
6,3,8,2,0.25,1
6,4,8,3,0.375,1
6,5,8,2,0.25,1
6,6,8,2,0.25,1
6,7,8,1,0.125,1
6,8,8,0,0.0,1
6,9,8,2,0.25,1
6,10,8,2,0.25,1
6,11,8,1,0.125,1
6,12,8,2,0.25,1
6,13,8,3,0.375,1
6,14,8,1,0.125,1
6,15,8,3,0.375,1
6,16,8,5,0.625,1
6,17,8,2,0.25,1
6,18,8,1,0.125,1
6,19,8,1,0.125,1
6,20,8,1,0.125,1
6,21,8,1,0.125,1
6,22,8,3,0.375,1
6,23,8,3,0.375,1
6,24,8,1,0.125,1
6,25,8,1,0.125,1
6,26,8,5,0.625,1
6,27,8,1,0.125,1
6,28,8,2,0.25,1
6,29,8,3,0.375,1
6,30,8,1,0.125,1
6,31,8,3,0.375,1
6,32,8,1,0.125,1
6,33,8,2,0.25,1
6,34,8,4,0.5,1
6,35,8,1,0.125,1
6,36,8,1,0.125,1
6,37,8,2,0.25,1
6,38,8,4,0.5,1
6,39,8,0,0.0,1
6,40,8,1,0.125,1
6,41,8,1,0.125,1
6,42,8,0,0.0,1
6,43,8,4,0.5,1
6,44,8,2,0.25,1
6,45,8,1,0.125,1
6,46,8,3,0.375,1
6,47,8,3,0.375,1
6,48,8,3,0.375,1
6,49,8,1,0.125,1
6,50,8,4,0.5,1
6,51,8,1,0.125,1
6,52,8,2,0.25,1
6,53,8,0,0.0,1
6,54,8,2,0.25,1
6,55,8,4,0.5,1
6,56,8,1,0.125,1
6,57,8,3,0.375,1
6,58,8,2,0.25,1
6,59,8,2,0.25,1
6,60,8,4,0.5,1
6,61,8,2,0.25,1
6,62,8,2,0.25,1
6,63,8,2,0.25,1
6,64,8,2,0.25,1
6,65,8,4,0.5,1
6,66,8,2,0.25,1
6,67,8,2,0.25,1
6,68,8,1,0.125,1
6,69,8,1,0.125,1
6,70,8,0,0.0,1
6,71,8,2,0.25,1
6,72,8,3,0.375,1
6,73,8,1,0.125,1
6,74,8,2,0.25,1
6,75,8,1,0.125,1
6,76,8,1,0.125,1
6,77,8,4,0.5,1
6,78,8,0,0.0,1
6,79,8,2,0.25,1
6,80,8,3,0.375,1
6,81,8,5,0.625,1
6,82,8,2,0.25,1
6,83,8,3,0.375,1
6,84,8,2,0.25,1
6,85,8,3,0.375,1
6,86,8,1,0.125,1
6,87,8,1,0.125,1
6,88,8,3,0.375,1
6,89,8,3,0.375,1
6,90,8,1,0.125,1
6,91,8,3,0.375,1
6,92,8,1,0.125,1
